backend,sequences,sites,patterns,mean_us,median_us,stdev_us,likelihood,abs_diff,speedup
CPU,1000,1000,1000,3679.5248,3694.083,243.3629921397253,-2397617.572252989,,
Metal,1000,1000,1000,2860.6917999999996,3026.542,367.1927526084903,-2397617.5740698576,0.001816868782043457,1.2862360076677959
CPU,2000,1000,1000,7874.8166,7879.208,69.41411417932251,-4758458.662231071,,
Metal,2000,1000,1000,4171.1998,4249.125,412.95455215035446,-4758458.668095231,0.005864160135388374,1.887902037202821
CPU,5000,1000,1000,21481.1416,21488.958,237.16138402425463,-11928884.112090468,,
Metal,5000,1000,1000,11695.6668,11363.167,657.6635700372951,-11928884.126398325,0.014307856559753418,1.836675237704275
CPU,10000,1000,1000,43703.8414,43546.0,528.0537113872041,-23823806.07868191,,
Metal,10000,1000,1000,18722.9248,18549.042,311.70605238702086,-23823806.106067657,0.02738574892282486,2.3342422119860244
